ra,endereço,lat,lon
Planaltina,"BR 020-PLA, KM 21,9",-15.599288,-47.677129
Brazlândia,"BR 080 - BRZ, KM 33, PRÓX. A PEDRA PRETA",-15.567235,-48.196984
Samambaia,"BR 060 - SAM, KM 08, PRÓX. AO PESQUEIRO SOUSA, SENT. PLANO PILOTO",-15.874868,-48.046103
Ceilândia,"BR 070 - CEI, KM 15,9, PRÓX. À PRF, SENT. ÁGUAS LINDAS DE GOIÁS, ROTATÓRIA",-15.795964,-48.195359
Paranoá,"BR 251 - PAR, KM 6,4, PRÓX. AO SUPERMERCADO EGONS (predominante é a BR 080)",-15.999465,-47.559455
São Sebastião,"BR 251 - SS, KM 54, PRÓX. À VILA DA MARINHA, SENT. CRESCENTE",-15.982555,-47.928593
Brazlândia,"BR 080 - BRZ, KM 07",-15.731258,-48.140872
Planaltina,"BR 020 - PLA, KM 40, SENT. PLANALTINA-DF",-15.581596,-47.512798
Ceilândia,"BR 070 - CEI, KM 9,9, PRÓX. À QD 01 DO CONDOMINIO PRIVÊ, SENT. A ÁGUAS LINDAS",-15.786767,-48.139547
Taguatinga,"BR 070 - TAG, KM 2,75, SETOR G NORTE QNG, NO SEMAFORO DA BR 070 ALTURA DA QNG, CRUZAMENTO",-15.797119,-48.069652
Jardim Botânico,"BR 251, KM 52,45, PRÓX. À ESTAÇÃO DE RÁDIO DA MARINHA, INTERSEÇÃO",-15.97622,-47.911211
Jardim Botânico,"BR 251, KM 52,45, PRÓX. À ESTAÇÃO DE RÁDIO DA MARINHA, INTERSEÇÃO",-15.97622,-47.911211
Planaltina,"VIA NS 1, VILA BURITIS, QD 3, CONJ. G, LT 60, PRÓX. À RIVIERA AUTO PEÇAS",-15.619818,-47.650126
Santa Maria,"AV. ALAGADO, CL 205, PRÓX. À JD FORRO PVC",-16.031239,-48.03346
Taguatinga,"VIA INTERNA - SETOR H NORTE, ACESSO AO SETOR H NORTE, AO LADO DA QNH 11 LT 03 LJ 01",-15.807714,-48.083421
